ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60647,16,04/12/2020,04/18/2020,123,281,141,321.1,404,1152,462,1316.4,0.3,0.2,6,7,6.9,8.0,87509,60647-16,POINT (-87.701101 41.921058)
60647,17,04/19/2020,04/25/2020,221,502,252,573.7,606,1758,692,2008.9,0.3,0.3,10,17,11.4,19.4,87509,60647-17,POINT (-87.701101 41.921058)
60660,34,08/16/2020,08/22/2020,19,640,44,1480,930,10919,2151,25250.9,0.0,0.1,0,40,0.0,92.5,43242,60660-34,POINT (-87.666362 41.991062)
60660,35,08/23/2020,08/29/2020,28,668,65,1544.8,1000,11919,2313,27563.5,0.0,0.1,1,41,2.3,94.8,43242,60660-35,POINT (-87.666362 41.991062)
60660,36,08/30/2020,09/05/2020,19,687,44,1588.7,769,12688,1778,29341.8,0.0,0.1,0,41,0.0,94.8,43242,60660-36,POINT (-87.666362 41.991062)
60660,37,09/06/2020,09/12/2020,17,704,39,1628,853,13541,1973,31314.5,0.0,0.1,0,41,0.0,94.8,43242,60660-37,POINT (-87.666362 41.991062)
60660,38,09/13/2020,09/19/2020,34,738,79,1706.7,782,14323,1808,33122.9,0.0,0.1,0,41,0.0,94.8,43242,60660-38,POINT (-87.666362 41.991062)
60660,39,09/20/2020,09/26/2020,32,770,74,1780.7,838,15161,1938,35060.8,0.0,0.1,1,42,2.3,97.1,43242,60660-39,POINT (-87.666362 41.991062)
60660,40,09/27/2020,10/03/2020,22,792,51,1831.6,1150,16311,2660,37720.3,0.0,0.0,0,42,0.0,97.1,43242,60660-40,POINT (-87.666362 41.991062)
60660,41,10/04/2020,10/10/2020,17,809,39,1870.9,1141,17452,2639,40358.9,0.0,0.0,0,42,0.0,97.1,43242,60660-41,POINT (-87.666362 41.991062)
60604,43,10/18/2020,10/24/2020,1,34,128,4347.8,28,620,3581,79283.9,0.0,0.1,0,0,0.0,0.0,782,60604-43,POINT (-87.629029 41.878153)
60630,41,10/04/2020,10/10/2020,84,1463,146,2551.3,1228,20410,2142,35592.2,0.1,0.1,0,67,0.0,116.8,57344,60630-41,POINT (-87.759611 41.971261)
