PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
DVORAK (ANTON),216,GYMNASIUM,INDOOR,1169336.03844,1890474.7538600001,"{'latitude': '41.854974', 'longitude': '-87.653943', 'needs_recoding': False}"
DVORAK (ANTON),216,BASEBALL JR/SOFTBALL,OUTDOOR,1169265.52251,1890344.0310200001,"{'latitude': '41.854617', 'longitude': '-87.654206', 'needs_recoding': False}"
DVORAK (ANTON),216,POOL (OUTDOOR),OUTDOOR,1169336.01318,1890154.4356,"{'latitude': '41.854095', 'longitude': '-87.653953', 'needs_recoding': False}"
DVORAK (ANTON),216,PLAYGROUND,OUTDOOR,1169498.87047,1890508.10353,"{'latitude': '41.855062', 'longitude': '-87.653345', 'needs_recoding': False}"
DVORAK (ANTON),216,PLAYGROUND,OUTDOOR,1169208.1928999999,1889993.59274,"{'latitude': '41.853656', 'longitude': '-87.654427', 'needs_recoding': False}"
DVORAK (ANTON),216,SPRAY FEATURE,OUTDOOR,1169459.97914,1890156.8663699999,"{'latitude': '41.854099', 'longitude': '-87.653498', 'needs_recoding': False}"
DVORAK (ANTON),216,VOLLEYBALL,OUTDOOR,1169252.15377,1890003.7318299999,"{'latitude': '41.853683', 'longitude': '-87.654265', 'needs_recoding': False}"
ECKERSALL (WALTER HERBERT),232,BASKETBALL COURT,OUTDOOR,1193844.3191500001,1851176.15102,"{'latitude': '41.746569', 'longitude': '-87.565278', 'needs_recoding': False}"
ECKERSALL (WALTER HERBERT),232,PLAYGROUND,OUTDOOR,1194169.7505900001,1851192.0030199999,"{'latitude': '41.746604', 'longitude': '-87.564085', 'needs_recoding': False}"
ECKHART (BERNARD),208,BASKETBALL COURT,OUTDOOR,1167102.04422,1905751.2662800001,"{'latitude': '41.896942', 'longitude': '-87.661704', 'needs_recoding': False}"
ECKHART (BERNARD),208,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1167233.7532800001,1905933.21572,"{'latitude': '41.897438', 'longitude': '-87.661215', 'needs_recoding': False}"
ECKHART (BERNARD),208,FITNESS CENTER,INDOOR,1167212.3468200001,1905641.9036399999,"{'latitude': '41.896639', 'longitude': '-87.661302', 'needs_recoding': False}"
ECKHART (BERNARD),208,GYMNASIUM,INDOOR,1167139.7515,1905644.69563,"{'latitude': '41.896649', 'longitude': '-87.661569', 'needs_recoding': False}"
ECKHART (BERNARD),208,POOL (INDOOR),INDOOR,1167018.75929,1905613.98211,"{'latitude': '41.896567', 'longitude': '-87.662014', 'needs_recoding': False}"
ECKHART (BERNARD),208,BASEBALL JR/SOFTBALL,OUTDOOR,1167446.9565900001,1906015.6850399999,"{'latitude': '41.89766', 'longitude': '-87.66043', 'needs_recoding': False}"
